ID,Nombre,HSV_Colores_Dominantes,Tonalidad_Recomendada
1921,wolf's_25.png,"(204.09991209790456, 35.57027174199547, 26.455299378129848) | (208.1884041734828, 17.362968777657613, 72.2054122297578) | (203.8554447474156, 25.26647447675207, 51.32253463973494) | (206.46270230464123, 19.043384584002602, 61.68964652795189) | (205.43578124416442, 26.980085783284718, 38.031168167592774)",claro
1922,wolf's_26.png,"(0.0, 0.0, 25.65195525370749) | (0.0, 0.0, 48.32328558644008) | (0.0, 0.0, 72.85161632220456) | (0.0, 0.0, 35.86969449824988) | (0.0, 0.0, 60.90915620327386)",mestizo
1923,wolf's_27.png,"(41.26008646547717, 43.62364157979127, 82.58174162291049) | (41.30033008627439, 72.2881795959325, 77.61943576506816) | (41.57228136937357, 58.78299921450768, 74.14201838927661) | (38.688627648205184, 34.87739813630553, 85.44086424378669) | (40.943396226415096, 50.378214826021186, 78.61763303318466)",moreno
1924,wolf's_28.png,"(7.718106194285721, 8.512099218419308, 67.35503515419094) | (310.88094985688315, 5.2791717190561025, 23.269391883386064) | (8.160967749054699, 8.301457823539163, 38.0895411264477) | (228.87944503469, 21.834556712286687, 12.774987379652558) | (3.979541220691545, 11.573456281399446, 53.14552653703257)",claro
1925,wolf's_29.png,"(202.83302177742073, 78.61339039400133, 29.760029892652195) | (202.73966373753774, 23.77775675419992, 65.00017569751911) | (202.88912232404837, 18.094862515006714, 78.81095972966564) | (202.70158765997212, 32.83184290152375, 50.97901797600342) | (202.72545090180364, 47.728776334960976, 38.16620757064152)",claro
1926,wolf's_3.png,"(0.0, 0.0, 19.894450372003224) | (0.0, 0.0, 56.026319092098895) | (0.0, 0.0, 29.9371640548111) | (0.0, 0.0, 70.91072326366437) | (0.0, 0.0, 42.579240004249726)",mestizo
1927,wolf's_30.png,"(40.8269334315749, 23.04487242282364, 47.45020568480265) | (40.09572027526984, 7.957496230868423, 5.434112584322018) | (38.60465116278891, 7.2510083253146105, 20.786983301607954) | (43.04150971636766, 7.876690795626974, 35.31941361245647) | (43.17247969421936, 1.903298262205909, 66.65272600539441)",mestizo
1928,wolf's_31.png,"(310.0619333783727, 78.42918575516163, 29.29520671088633) | (309.67304249505327, 23.422521477784013, 58.22448848469989) | (310.17404331662567, 37.74275515760179, 40.590313196569575) | (309.06946633076046, 15.498930502080805, 76.62256391918476) | (310.8955298646174, 83.1984329621923, 24.860067645218344)",claro
1929,wolf's_32.png,"(350.6544400628018, 63.095290232729354, 95.94307680212992) | (338.88796341939826, 62.76994844305017, 11.613969736286212) | (352.32835189184806, 25.990751503062846, 83.18926884411975) | (329.8473633094469, 91.59502787937862, 79.10155529217084) | (324.6876883361317, 31.482513970306524, 55.86456885276334)",moreno
1930,wolf's_33.png,"(239.44494544592152, 34.51007080943097, 5.343232048301694) | (204.13689809546872, 48.18191629432974, 73.50931381363928) | (20.440769549652856, 53.89542709535973, 89.25606114189164) | (214.6288242592255, 39.13178741391044, 37.730704083979916) | (5.9028093753642725, 73.34483129529504, 69.42714716094771)",claro
1931,wolf's_4.png,"(29.05982905984574, 0.18429550287465446, 66.62643648003355) | (222.3172626179349, 76.59312399900749, 6.37883123054539) | (217.87095812376893, 53.92596165644835, 28.932729387280414) | (215.251724137931, 45.579798870898706, 62.77368894264054) | (217.84952685411574, 58.32242563906963, 48.146003895850384)",claro
1932,wolf's_5.png,"(242.92120529704061, 24.76019426890555, 28.457905372968696) | (242.28409473986625, 10.312691126576654, 58.88759989688067) | (242.9342692346936, 47.96476051902341, 18.713559667032186) | (242.07203212688796, 7.296159157332925, 74.85422115211645) | (242.4676344544421, 15.160916138557019, 42.73717494412042)",claro
1933,wolf's_6.png,"(235.00330781589625, 11.849841531747918, 62.362602506125654) | (235.96217793160852, 38.39547953351822, 29.392100990440973) | (234.91043640639123, 8.91435828827554, 77.14669615572123) | (235.96789992541125, 24.192440310805573, 36.35204021148966) | (235.5990786477956, 16.364107770810516, 48.39736593750163)",claro
1934,wolf's_7.png,"(188.66760493098843, 73.13019530202529, 17.763488226340847) | (189.65874944975033, 21.235632651070635, 41.058656654151044) | (189.712665835129, 13.956057172517585, 56.99370456554283) | (189.0122683564823, 35.127778161236925, 27.135850160959908) | (190.40896911577954, 10.108363289054868, 73.4572458266795)",claro
1935,wolf's_8.png,"(0.0, 0.0, 72.14008401611731) | (0.0, 0.0, 25.405028719795276) | (0.0, 0.0, 58.76958393113342) | (0.0, 0.0, 34.444316372314226) | (0.0, 0.0, 46.12195829706091)",mestizo
1936,wolf's_9.png,"(248.12030075164205, 6.012081695259099, 1.1519647292366848) | (248.30684596577493, 0.9313340392344688, 51.14109786453558) | (248.28374196620553, 1.6194441232026586, 31.93013551936782) | (248.61708838578622, 7.202245432654738, 13.793101047237077) | (247.8688524590258, 0.6465717124875253, 70.23263542705207)",claro
1937,wolf.png,"(273.319770488589, 94.66393539347222, 13.539626364370122) | (31.056798336798327, 60.85895904609588, 62.639846561098146) | (37.76385174669824, 89.0822206473617, 95.66345116028042) | (323.94376904617303, 96.95128607128824, 83.84211677235952) | (320.82122117994703, 90.28086553156822, 42.1199292689088)",claro
1938,wolf_1.png,"(200.40866198726349, 16.42715019395476, 71.20089786756452) | (150.53144947285404, 43.5234777994263, 26.63528026051411) | (359.01208825180913, 69.89759075329057, 60.69010508144572) | (189.92764843642377, 41.164888658021354, 48.19233249887953) | (169.8955637426507, 25.906527312162225, 5.258137099366489)",claro
1939,wolf_10.png,"(355.2011943694014, 81.2171603441307, 66.26111908177906) | (356.6750089380546, 4.557056893975954, 3.2851968813002035) | (260.3861003863524, 0.03719687775999246, 44.04142947501581) | (354.23999999999967, 0.3955705143998963, 22.04444776640008) | (303.03370786593615, 0.017575612159574743, 67.48743065620474)",claro
